trip_id,stop_id
9673972-124-A-Weekday-55,311142
9673972-124-A-Weekday-55,311613
9673972-124-A-Weekday-55,311617
9673972-124-A-Weekday-55,311106
9673973-124-A-Weekday-55,311106
9673973-124-A-Weekday-55,311030
9673973-124-A-Weekday-55,311038
9673973-124-A-Weekday-55,311035
9673973-124-A-Weekday-55,311029
9673973-124-A-Weekday-55,311191
9673973-124-A-Weekday-55,311302
9673973-124-A-Weekday-55,311142
9673973-124-A-Weekday-55,311613
9673973-124-A-Weekday-55,311617
9673973-124-A-Weekday-55,311106
9673974-124-A-Weekday-55,311106
9673974-124-A-Weekday-55,311030
9673974-124-A-Weekday-55,311038
9673974-124-A-Weekday-55,311035
9673974-124-A-Weekday-55,311029
9673974-124-A-Weekday-55,311191
9673974-124-A-Weekday-55,311302
9673974-124-A-Weekday-55,311142
9673974-124-A-Weekday-55,311613
9673974-124-A-Weekday-55,311617
9673974-124-A-Weekday-55,311106
9673975-124-A-Weekday-55,311106
