route_id,service_id,trip_headsign,trip_id,direction_id,block_id,shape_id
22,4_merged_422181210,BART Concord via BART Pleasant Hill,220004004,0,,
22,4_merged_422181222,BART Concord via BART Pleasant Hill,4216479,0,,38353
7,3_merged_422181207,BART Concord via John Muir Medical Center,71003027,1,,
7,3_merged_422181207,BART Concord via John Muir Medical Center,71003024,1,,
7,3_merged_422181207,BART Concord via John Muir Medical Center,71003021,1,,
41,2_merged_422181208,BART Walnut Creek,410002005,0,,
2,2_merged_422181208,BART Concord,21002071,1,,
2,2_merged_422181208,BART Concord,21002074,1,,
4,3_merged_422181219,BART Pleasant Hill,42105721,0,,38314
2,2_merged_422181208,BART Concord,21002077,1,,
6,3_merged_422181207,AMTRAK via Downtown Pleasant Hill,60003033,0,,
6,3_merged_422181207,AMTRAK via Downtown Pleasant Hill,60003030,0,,
6,3_merged_422181207,AMTRAK via Downtown Pleasant Hill,60003036,0,,
14,3_merged_422181219,BART Walnut Creek via Mount Diablo Blvd,42140021,0,,38335
6,3_merged_422181207,AMTRAK via Downtown Pleasant Hill,60003039,0,,
34,1_merged_422181206,BART Walnut Creek via BART Pleasant Hill,340001040,0,,
34,1_merged_422181206,BART Walnut Creek via BART Pleasant Hill,340001043,0,,
31,1_merged_422181206,BART Walnut Creek,311001052,1,,
34,1_merged_422181206,BART Walnut Creek via BART Pleasant Hill,340001046,0,,
34,1_merged_422181206,BART Walnut Creek via BART Pleasant Hill,340001049,0,,
16,11_merged_422181215,,4214566,0,,38339
31,1_merged_422181218,Creekside,42219855,0,,38373
31,3_merged_422181219,Creekside,42219857,0,,38373
31,2_merged_422181220,Creekside,42219856,0,,38373
30,4_merged_422181210,Broadway Plaza,300004110,0,,
20,4_merged_422181222,John Muir Medical Center via BART Walnut Creek,42154112,1,,38350
30,4_merged_422181210,Broadway Plaza,300004117,0,,
30,4_merged_422181222,BART Walnut Creek,42209924,1,,38372
30,1_merged_422181206,BART Walnut Creek,301001201,1,,
23,5_merged_422181209,BART Concord,231005035,1,,
23,5_merged_422181209,BART Concord,231005034,1,,
23,5_merged_422181209,BART Concord,231005031,1,,
26,5_merged_422181221,Diablo Valley College via Diamond Blvd,4218497,1,,38362
