"fare_id","origin_id","destination_id"
"57","103","81"
"58","103","82"
"50","103","83"
"53","103","84"
"35","103","85"
"37","103","86"
"42","103","87"
"8","103","88"
"30","103","89"
"56","103","90"
"45","103","91"
"52","103","92"
"56","103","93"
"64","103","94"
"46","103","95"
"68","103","96"
"55","103","97"
"38","103","98"
"55","103","99"
"63","103","100"
"68","103","101"
"55","103","102"
"59","103","104"
"44","103","105"
"20","103","106"
"40","103","107"
"71","103","108"
"30","103","109"
"48","103","110"
"88","103","111"
"58","103","112"
"1","103","113"
"51","103","114"
"70","103","115"
"55","103","116"
"41","103","117"
"63","103","118"
"70","103","119"
"73","103","120"
"75","103","121"
"71","103","122"
"77","103","123"
"73","103","124"
"60","103","125"
"44","103","126"
"25","103","127"
"37","103","128"
"37","103","129"
"62","103","130"
"40","103","131"
"60","103","132"
"33","103","133"
"45","103","134"
"64","103","135"
"75","103","142"
"78","103","143"
"84","103","128"
"86","103","145"
"23","104","81"
"23","104","82"
"13","104","83"
"23","104","84"
"29","104","85"
"27","104","86"
"20","104","87"
"53","104","88"
"40","104","89"
"1","104","90"
"23","104","91"
"11","104","92"
"23","104","93"
"27","104","94"
"15","104","95"
"13","104","96"
"23","104","97"
"25","104","98"
"23","104","99"
"27","104","100"
"32","104","101"
"53","104","102"
"59","104","103"
"23","104","105"
"47","104","106"
"39","104","107"
"30","104","108"
"38","104","109"
"23","104","110"
"51","104","111"
"23","104","112"
"58","104","113"
"49","104","114"
"33","104","115"
"5","104","116"
"39","104","117"
"8","104","118"
"15","104","119"
"36","104","120"
"34","104","121"
"19","104","122"
"38","104","123"
"34","104","124"
"23","104","125"
"41","104","126"
"43","104","127"
"30","104","128"
"34","104","129"
"25","104","130"
"23","104","131"
"1","104","132"
"33","104","133"
"42","104","134"
"28","104","135"
"38","104","142"
"41","104","143"
"46","104","128"
"47","104","145"
"19","105","81"
"20","105","82"
"13","105","83"
"15","105","84"
"15","105","85"
"14","105","86"
"7","105","87"
"38","105","88"
"24","105","89"
"21","105","90"
"8","105","91"
"15","105","92"
"8","105","93"
"24","105","94"
"10","105","95"
"32","105","96"
"18","105","97"
"8","105","98"
"1","105","99"
"27","105","100"
"32","105","101"
"50","105","102"
"44","105","103"
"23","105","104"
"35","105","106"
"25","105","107"
"30","105","108"
"23","105","109"
"12","105","110"
"47","105","111"
"19","105","112"
"44","105","113"
"45","105","114"
"28","105","115"
"20","105","116"
"27","105","117"
"27","105","118"
"34","105","119"
"32","105","120"
"34","105","121"
"37","105","122"
"34","105","123"
"31","105","124"
"21","105","125"
"28","105","126"
"29","105","127"
"16","105","128"
"20","105","129"
"24","105","130"
"1","105","131"
"24","105","132"
"18","105","133"
"40","105","134"
"28","105","135"
"34","105","142"
"37","105","143"
"43","105","128"
"45","105","145"
"47","106","81"
"48","106","82"
"40","106","83"
"43","106","84"
"23","106","85"
"24","106","86"
"32","106","87"
"1","106","88"
"8","106","89"
"46","106","90"
"35","106","91"
"43","106","92"
"46","106","93"
"55","106","94"
"37","106","95"
"59","106","96"
"45","106","97"
"28","106","98"
"45","106","99"
"57","106","100"
"60","106","101"
"45","106","102"
"20","106","103"
"47","106","104"
"35","106","105"
"24","106","107"
"62","106","108"
"16","106","109"
"39","106","110"
"80","106","111"
"48","106","112"
"8","106","113"
"41","106","114"
"60","106","115"
"45","106","116"
"24","106","117"
"53","106","118"
"61","106","119"
"62","106","120"
"64","106","121"
"61","106","122"
"65","106","123"
"62","106","124"
"48","106","125"
"27","106","126"
"1","106","127"
"24","106","128"
"24","106","129"
"52","106","130"
"30","106","131"
"50","106","132"
"20","106","133"
"35","106","134"
"56","106","135"
"65","106","142"
"68","106","143"
"74","106","128"
"76","106","145"
"37","107","81"
"38","107","82"
"31","107","83"
"33","107","84"
"15","107","85"
"7","107","86"
"23","107","87"
"34","107","88"
"15","107","89"
"38","107","90"
"25","107","91"
"31","107","92"
"37","107","93"
"44","107","94"
"27","107","95"
"47","107","96"
"35","107","97"
"10","107","98"
"35","107","99"
"45","107","100"
"50","107","101"
"17","107","102"
"40","107","103"
"39","107","104"
"25","107","105"
"24","107","106"
"48","107","108"
"15","107","109"
"29","107","110"
"70","107","111"
"40","107","112"
"39","107","113"
"14","107","114"
"47","107","115"
"35","107","116"
"2","107","117"
"43","107","118"
"49","107","119"
"53","107","120"
"51","107","121"
"51","107","122"
"56","107","123"
"52","107","124"
"39","107","125"
"1","107","126"
"18","107","127"
"5","107","128"
"1","107","129"
"43","107","130"
"12","107","131"
"40","107","132"
"15","107","133"
"10","107","134"
"45","107","135"
"55","107","142"
"58","107","143"
"63","107","128"
"65","107","145"
"17","108","81"
"8","108","82"
"30","108","83"
"19","108","84"
"37","108","85"
"35","108","86"
"30","108","87"
"66","108","88"
"48","108","89"
"30","108","90"
"25","108","91"
"30","108","92"
"30","108","93"
"30","108","94"
"30","108","95"
"32","108","96"
"8","108","97"
"34","108","98"
"30","108","99"
"18","108","100"
"24","108","101"
"54","108","102"
"71","108","103"
"30","108","104"
"30","108","105"
"62","108","106"
"48","108","107"
"45","108","109"
"22","108","110"
"43","108","111"
"15","108","112"
"70","108","113"
"50","108","114"
"33","108","115"
"30","108","116"
"49","108","117"
"30","108","118"
"34","108","119"
"8","108","120"
"1","108","121"
"18","108","122"
"30","108","123"
"25","108","124"
"17","108","125"
"51","108","126"
"51","108","127"
"39","108","128"
"42","108","129"
"17","108","130"
"30","108","131"
"30","108","132"
"41","108","133"
"50","108","134"
"1","108","135"
"14","108","142"
"14","108","143"
"18","108","128"
"20","108","145"
"35","109","81"
"39","109","82"
"28","109","83"
"30","109","84"
"8","109","85"
"11","109","86"
"20","109","87"
"24","109","88"
"1","109","89"
"37","109","90"
"23","109","91"
"31","109","92"
"35","109","93"
"41","109","94"
"25","109","95"
"47","109","96"
"35","109","97"
"17","109","98"
"34","109","99"
"43","109","100"
"48","109","101"
"38","109","102"
"30","109","103"
"38","109","104"
"23","109","105"
"16","109","106"
"15","109","107"
"45","109","108"
"26","109","110"
"68","109","111"
"36","109","112"
"30","109","113"
"34","109","114"
"48","109","115"
"34","109","116"
"17","109","117"
"40","109","118"
"50","109","119"
"51","109","120"
"48","109","121"
"53","109","122"
"54","109","123"
"51","109","124"
"37","109","125"
"17","109","126"
"8","109","127"
"11","109","128"
"11","109","129"
"41","109","130"
"17","109","131"
"39","109","132"
"1","109","133"
"29","109","134"
"43","109","135"
"54","109","142"
"56","109","143"
"60","109","128"
"62","109","145"
"11","110","81"
"12","110","82"
"13","110","83"
"1","110","84"
"19","110","85"
"17","110","86"
"12","110","87"
"42","110","88"
"30","110","89"
"21","110","90"
"1","110","91"
"15","110","92"
"20","110","93"
"27","110","94"
"11","110","95"
"32","110","96"
"8","110","97"
"14","110","98"
"18","110","99"
"19","110","100"
"24","110","101"
"53","110","102"
"48","110","103"
"23","110","104"
"12","110","105"
"39","110","106"
"29","110","107"
"22","110","108"
"26","110","109"
"43","110","111"
"12","110","112"
"47","110","113"
"49","110","114"
"33","110","115"
"20","110","116"
"31","110","117"
"27","110","118"
"34","110","119"
"31","110","120"
"26","110","121"
"34","110","122"
"30","110","123"
"26","110","124"
"13","110","125"
"32","110","126"
"35","110","127"
"21","110","128"
"25","110","129"
"16","110","130"
"8","110","131"
"24","110","132"
"23","110","133"
"43","110","134"
"21","110","135"
"33","110","142"
