place_id,place_name,reference_place,place_lat,place_long
ora4th,Orange Ave & 4th St,,32.694413741960,-117.174871369859
orvbru,Orville St & Brucker Ave.,,32.709167733772,-117.009323182809
otabor,Otay Mesa Border Crossing,,32.552667031802,-116.936783033445
otaher,Otay Mesa Rd & Heritage Rd,,32.568177109719,-116.995831580594
ottc_e,Old Town Transit Center East,oldttc,32.754593449671,-117.199253156337
ottc_w,Old Town Transit Center West,oldttc,32.754552840943,-117.199886990338
pacgra,Pacific Hwy & Grape,,32.724220332787,-117.171599980840
pacmir,Mira Mesa & Pacific Heights Blvd.,,32.900580427268,-117.190245492595
pacper,Pacific Hwy & Perry's Layover,,32.756575104272,-117.201398553379
pacS_N,Pacific Fleet,pacS,32.686327704900,-117.125042121187
pacS_S,Pacific Fleet,pacS,32.685820393034,-117.124491066525
pal3rd,3rd Ave & Palomar St,,32.606904214146,-117.066039362003
pal9t1,Palm Ave & 9th St,,32.583967496142,-117.115141153671
pal9th,Palm Ave & 9th St,,32.583643332984,-117.114218284526
palS_N,Palomar Street,palS,32.602597030690,-117.084708338750
palS_S,Palomar Street,palS,32.602557608207,-117.084847588709
paltro,Palomar Street Transit Center,,32.603141684478,-117.084519640401
parmea,Paradise Valley & Meadowbrook Dr,,32.697033704926,-117.026802284400
paruni,Park Blvd & University Ave,,32.748736446492,-117.146321441613
paruns,Park Blvd & University Ave,,32.748156482261,-117.146325298993
pasran,Paseo Montril & Rancho Pen. Blvd,,32.951317584105,-117.107660660156
pepgra,Pepper Dr & Graves Ave,,32.825093559243,-116.961276591156
pinval,Pine Valley,,32.821916987296,-116.529498775225
pkpl_o,Johnson & Arnele  (Pkwy Plaza),,32.805099107080,-116.971103089423
pkyplz,Parkway Plaza Transit Center,,32.804632466021,-116.967698349962
plmS_N,Palm City,plmS,32.585164657978,-117.083712417367
plmS_S,Palm City,plmS,32.585177740182,-117.083809933006
plmtro,Palm Ave Trolley Station,,32.583806571884,-117.084046301094
plzbon,Plaza Bonita,,32.655823549464,-117.064684870366
plzeu1,Plaza Blvd & Euclid Ave,,32.679530787052,-117.080643691931
plzeuc,Plaza Blvd & Euclid Ave,,32.680021706978,-117.080270678827
plzhig,Plaza Blvd & Highland Ave,,32.676722034180,-117.096973022160
pomcol,Pomerado Rd & Colony Dr,,32.981045557729,-117.062426861696
pomran,Pomerado & Rancho Bern. Rd,,33.018845992828,-117.061080021206
potrer,Potrero,,32.604525813245,-116.609555072430
powahs,Poway High School,,32.996804380807,-117.023554037641
powbow,Poway Rd. & Bowron Rd.,,32.956378441547,-117.045432158520
powpom,Poway Rd & Pomerado Rd,,32.951737841900,-117.062521111485
prkreo,Parkside & Redford,,32.666159831174,-117.057284038690
profan,Prospect Ave & Fanita Dr,,32.833836287201,-117.000683711922
quaS,Qualcomm Stadium,,32.780962322082,-117.119097640769
ramsta,Ramona Station,,33.035864198504,-116.881421041226
