"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id"
"525","60525","SAN ANTONIO & EL CAMINO","","37.400724762000003","-122.114116229","1"
"346","60346","EL CAMINO & SAN ANTONIO","","37.400917939999999","-122.113278271","1"
"526","60526","SAN ANTONIO & PORTOLA","","37.396919541000003","-122.11440108799999","1"
"690","60690","SAN ANTONIO & PORTOLA","","37.397023197999999","-122.11415155","1"
"502","60502","EL CAMINO & CESANO","","37.404606616999999","-122.117917139","1"
"345","60345","EL CAMINO & LOS ALTOS","","37.404254842999997","-122.117976369","1"
"692","60692","SAN ANTONIO & MILLER","","37.404629","-122.111378","1"
"4403","64403","CHARLESTON & ALMA","","37.415192263000002","-122.11784267900001","1"
"4331","64331","CHARLESTON & PARK","","37.413984894000002","-122.11945794","1"
"4405","64405","CHARLESTON & NELSON","","37.419039806000001","-122.111639415","1"
"4329","64329","CHARLESTON & STEVENSON HOUSE","","37.418545893000001","-122.11290120699999","1"
"1585","61585","MIDDLEFIELD & ADOBE CREEK","","37.421779753999999","-122.111722985","1"
"4330","64330","CHARLESTON & WRIGHT","","37.415775773999997","-122.117428881","1"
"4404","64404","CHARLESTON & MUMFORD","","37.416424628000001","-122.116445208","1"
"5030","65030","EAST CHARLESTON & CARLSON","","37.417837728000002","-122.114239529","1"
"5031","65031","EAST CHARLESTON & CARLSON","","37.417431397999998","-122.11467618099999","1"
"1546","61546","MIDDLEFIELD & AMES","","37.427005774999998","-122.119032171","1"
"1582","61582","MIDDLEFIELD & ASHTON","","37.426438898999997","-122.11841766800001","1"
"1584","61584","MIDDLEFIELD & MAYVIEW","","37.422729034","-122.112560876","1"
"1544","61544","MIDDLEFIELD & MAYVIEW","","37.422916432999997","-122.112543821","1"
"1545","61545","MIDDLEFIELD & MEADOW","","37.424525516999999","-122.115105211","1"
"1583","61583","MIDDLEFIELD & MEADOW","","37.423830162000002","-122.114290865","1"
"4431","64431","MEADOW & COWPER","","37.422785910000002","-122.117300531","1"
"5622","65622","MEADOW & MIDDLEFIELD","","37.424545000000002","-122.11425199999999","1"
"5623","65623","MEADOW & COWPER","","37.423056000000003","-122.117093","1"
"5624","65624","MEADOW & MIDDLEFIELD","","37.424263000000003","-122.114538","1"
"5625","65625","MEADOW & ROSS","","37.425798","-122.11187700000001","1"
