stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type
80419,80419,Montecito Blvd @ Benicia Dr,38.473534,-122.675461,0
80420,80420,Montecito Blvd @ Middle Rincon Rd,38.475586,-122.673058,0
80421,80421,Montecito Blvd @ Benjamins Rd,38.476883,-122.668304,0
80422,80422,Montecito Blvd @ Saint Mary Dr,38.47818,-122.664467,0
80423,80423,7000 Montecito Blvd,38.478535,-122.661102,0
80424,80424,Calistoga Rd @ Parkhurst Dr,38.477821,-122.655388,0
80425,80425,Calistoga Rd @ San Luis Ave,38.475155,-122.654633,0
80426,80426,Calistoga Rd @ Yerba Buena Dr,38.473557,-122.654442,0
80427,80427,Calistoga Rd @ Monte Verde Dr,38.471828,-122.654228,0
80428,80428,Calistoga Rd @ Dupont Dr,38.469448,-122.653938,0
80429,80429,Calistoga Rd @ Hwy 12,38.466362,-122.653564,0
80430,80430,Hwy 12 @ Boas Dr,38.465149,-122.658356,0
80431,80431,Hwy 12 @ Jack London Dr,38.464706,-122.661591,0
80432,80432,Hwy 12 @ Middle Rincon Rd,38.464054,-122.664398,0
80433,80433,Hwy 12 @ Cardinal Wy,38.460972,-122.671059,0
80434,80434,Mission Blvd @ Mission Cir,38.458313,-122.673775,0
80435,80435,Montgomery Dr @ Summerfield Rd,38.454472,-122.672394,0
80436,80436,Montgomery Dr @ Jacqueline Dr,38.451965,-122.675362,0
80437,80437,Montgomery Dr @ Yulupa Ave,38.449329,-122.679482,0
80438,80438,Montgomery Dr @ Franquette Ave,38.447952,-122.683022,0
80439,80439,Sonoma Ave @ Farmers Ln,38.444866,-122.68647,0
80440,80440,Sonoma Ave @ Shortt Rd,38.443668,-122.690918,0
80441,80441,Sonoma Ave @ Rosedale St,38.442661,-122.694572,0
80442,80442,Sonoma Ave @ Doyle Park Dr,38.441704,-122.698036,0
80443,80443,Sonoma Ave @ Sotoyome St,38.441216,-122.699898,0
80444,80444,Sonoma Ave @ Brookwood Ave,38.440289,-122.703262,0
80445,80445,Sonoma Ave @ Gray Ct,38.439632,-122.705643,0
80446,80446,Sonoma Ave @ E St,38.438652,-122.708862,0
80447,80447,4620 Hwy 12,38.459801,-122.672379,0
80448,80448,Hwy 12 @ Acacia Ln,38.462345,-122.6688,0
80449,80449,Hwy 12 @ Middle Rincon Rd,38.463627,-122.665459,0
80450,80450,Hwy 12 @ Maria Ln,38.464787,-122.660477,0
80451,80451,Hwy 12 @ South Boas Dr,38.464951,-122.657372,0
80452,80452,Calistoga Rd @ Marit Dr,38.466431,-122.653511,0
80453,80453,Calistoga Rd @ DuPont Dr,38.469612,-122.6539,0
80454,80454,Calistoga Rd @ Monte Verde Dr,38.472267,-122.654198,0
80455,80455,Calistoga Rd @ San Luis Ave,38.475281,-122.654579,0
80456,80456,Calistoga Rd @ Piedmont Dr,38.479485,-122.656509,0
80457,80457,6959 Montecito Blvd-Rincon Valley Regional Library,38.47868,-122.661255,0
80458,80458,Montecito Blvd @ Saint Mary Dr,38.478027,-122.665321,0
80459,80459,Montecito Blvd @ Swift Ct,38.476795,-122.669434,0
80460,80460,Montecito Blvd @ Middle Rincon Rd,38.475483,-122.673538,0
80461,80461,Montecito Blvd @ Benicia Dr,38.473454,-122.675568,0
80462,80462,Mission Blvd @ Vine St,38.470657,-122.676804,0
80463,80463,Mission Blvd @ Yukon Dr,38.467552,-122.676826,0
80464,80464,Mission Blvd @ Culebra Ave,38.465534,-122.676239,0
80465,80465,Mission Blvd @ Sherbrook Dr,38.46315,-122.675835,0
80466,80466,Hoen Ave @ Hilliard Ct,38.439255,-122.672485,0
80467,80467,Hoen Ave @ Camden Ct,38.438358,-122.675018,0
80468,80468,Hoen Ave @ Franquette Ave,38.437611,-122.678886,0
80469,80469,Hoen Ave @ Hoen Frontage Rd,38.437634,-122.681244,0
80470,80470,Townview Ave @ Townview Ln,38.435024,-122.685745,0
80471,80471,Farmers Ln @ Bennett Valley Rd,38.433838,-122.688438,0
80472,80472,Maple Ave @ Brookwood Ave,38.434147,-122.698967,0
80473,80473,South E St @ Stevenson St,38.43391,-122.704689,0
80474,80474,South E St @ Wheeler St,38.435574,-122.705627,0
80475,80475,South E St @ Clark St,38.437172,-122.706558,0
80476,80476,Steele Ln @ Berkeley Dr,38.460285,-122.721512,0
80477,80477,Steele Ln @ Mendocino Ave,38.460739,-122.718704,0
80478,80478,3325 Chanate Rd,38.468292,-122.707855,0
80479,80479,Chanate Rd @ County Farm Rd,38.469151,-122.704117,0
80480,80480,Parker Hill Rd @ Chanate Rd,38.472645,-122.703133,0
80481,80481,Parker Hill Rd @ Parker Hill Ct,38.478725,-122.704391,0
80482,80482,Parker Hill Rd @ Hidden Pine Ct,38.480869,-122.704819,0
80483,80483,Stagecoach Rd @ Fountaingrove Pkwy,38.486115,-122.709358,0
80484,80484,Steele Ln @ Rowe Dr,38.460857,-122.718132,0
80485,80485,Steele Ln @ Myers Dr,38.460213,-122.722176,0
80486,80486,North Dutton Ave @ El Cerrito Dr,38.454632,-122.737099,0
80487,80487,North Dutton Ave @ Jennings Ave,38.451981,-122.735222,0
