stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,is_trans_ctr,at_trans_ctr,direction
1251,1251,"Bonny Doon Rd (Country Estates Terrace)",,  37.052711,-122.160866,,http://scmtd.com/stop/1251,0,,,,0,0,1
1254,1254,"Broadway & Riverside Ave",,  36.971329,-122.022049,,http://scmtd.com/stop/1254,0,,,,0,0,2
1255,1255,"Broadway & Clay",,  36.972656,-122.019501,,http://scmtd.com/stop/1255,0,,,,0,0,1
1256,1256,"Broadway & Clay",,  36.972805,-122.019524,,http://scmtd.com/stop/1256,0,,,,0,0,2
1257,1257,"Broadway & Ocean",,  36.973503,-122.017769,,http://scmtd.com/stop/1257,0,,,,0,0,1
1258,1258,"Broadway & Pine",,  36.974903,-122.012794,,http://scmtd.com/stop/1258,0,,,,0,0,1
1259,1259,"Broadway & Cayuga",,  36.975063,-122.010559,,http://scmtd.com/stop/1259,0,,,,0,0,1
1260,1260,"Broadway & Seabright Ave",,  36.975346,-122.008850,,http://scmtd.com/stop/1260,0,,,,0,0,2
1262,1262,"Brommer (Sorrento Oaks)",,  36.971954,-121.993874,,http://scmtd.com/stop/1262,0,,,,0,0,1
1263,1263,"Brommer & Captains Ct",,  36.972103,-121.993774,,http://scmtd.com/stop/1263,0,,,,0,0,2
1265,1265,"Brommer & El Dorado Ave",,  36.971947,-121.989578,,http://scmtd.com/stop/1265,0,,,,0,0,1
1266,1266,"Brommer & El Dorado Ave",,  36.972061,-121.989075,,http://scmtd.com/stop/1266,0,,,,0,0,2
1267,1267,"Brommer & 17th Ave",,  36.971119,-121.985313,,http://scmtd.com/stop/1267,0,,,,0,0,1
1269,1269,"Brommer & 17th Ave",,  36.971306,-121.985390,,http://scmtd.com/stop/1269,0,,,,0,0,2
1285,1285,"Capitola Ave & Hill",,  36.981819,-121.952354,,http://scmtd.com/stop/1285,0,,,,0,0,1
1287,1287,"Capitola Ave & Gary",,  36.984486,-121.951752,,http://scmtd.com/stop/1287,0,,,,0,0,1
1288,1288,"Capitola Rd & 7th Ave",,  36.979492,-121.992188,,http://scmtd.com/stop/1288,0,,,,0,0,2
1289,1289,"Capitola Rd & 7th Ave",,  36.979050,-121.991577,,http://scmtd.com/stop/1289,0,,,,0,0,1
1290,1290,"Capitola Rd & El Dorado Ave",,  36.977577,-121.988701,,http://scmtd.com/stop/1290,0,,,,0,0,1
1291,1291,"Capitola Rd & Jose Ave",,  36.977852,-121.988724,,http://scmtd.com/stop/1291,0,,,,0,0,2
1293,1293,"Capitola Rd & 17th Ave",,  36.975636,-121.982391,,http://scmtd.com/stop/1293,0,,,,0,0,1
1294,1294,"Capitola Rd & 17th Ave (Live Oak Senior Ctr)",,  36.975834,-121.981972,,http://scmtd.com/stop/1294,0,,,,0,0,2
1297,1297,"Capitola Rd & Woodrose Ave",,  36.975285,-121.978172,,http://scmtd.com/stop/1297,0,,,,0,0,1
1298,1298,"Capitola Rd & Maciel Ave",,  36.975441,-121.976852,,http://scmtd.com/stop/1298,0,,,,0,0,2
1299,1299,"Capitola Rd & 30th Ave",,  36.973675,-121.974098,,http://scmtd.com/stop/1299,0,,,,0,0,1
